timestamp,container,cpu_pct,mem_usage,mem_pct,net_io,block_io
10:13:40,qa-mysql-user-1,4.66,405.3MiB on 15.26GiB,2.59,3.97MB on 7.68MB,131kB on 316MB
10:13:40,qa-kafka-1,3.17,426.8MiB on 15.26GiB,2.73,2.66MB on 1.33MB,0B on 4.84MB
10:13:48,qa-k6-run-a4819b779e3c,8.50,126.9MiB on 15.26GiB,0.81,16.5MB on 11.4MB,0B on 0B
10:13:48,qa-gateway-1,11.91,236MiB on 768MiB,30.72,27.7MB on 33.6MB,0B on 340kB
10:13:48,qa-orderapi-1,39.96,384.2MiB on 1GiB,37.52,59.6MB on 50.1MB,0B on 238kB
10:13:48,qa-userapi-1,199.37,493.1MiB on 1GiB,48.15,12.2MB on 8.98MB,0B on 242kB
10:13:48,qa-eureka-1,1.72,213.8MiB on 512MiB,41.75,72.2kB on 503kB,0B on 258kB
10:13:48,qa-mysql-order-1,17.75,418.1MiB on 15.26GiB,2.67,24.5MB on 37.8MB,131kB on 441MB
10:13:48,qa-redis-1,1.91,6.586MiB on 15.26GiB,0.04,11.5MB on 7.62MB,0B on 2.23MB
10:13:48,qa-mysql-user-1,5.31,405.4MiB on 15.26GiB,2.59,4.14MB on 8.03MB,131kB on 316MB
10:13:48,qa-kafka-1,2.69,426.8MiB on 15.26GiB,2.73,2.77MB on 1.38MB,0B on 5.07MB
10:13:56,qa-k6-run-a4819b779e3c,8.58,126.9MiB on 15.26GiB,0.81,17.5MB on 12.1MB,0B on 0B
10:13:56,qa-gateway-1,11.67,236.2MiB on 768MiB,30.76,29.1MB on 35.3MB,0B on 352kB
10:13:56,qa-orderapi-1,40.40,384.5MiB on 1GiB,37.55,63.2MB on 52.9MB,0B on 250kB
10:13:56,qa-userapi-1,202.13,493.2MiB on 1GiB,48.17,12.8MB on 9.38MB,0B on 254kB
10:13:56,qa-eureka-1,1.27,213.9MiB on 512MiB,41.77,73.9kB on 522kB,0B on 270kB
10:13:56,qa-mysql-order-1,16.93,417.8MiB on 15.26GiB,2.67,25.9MB on 40.2MB,131kB on 446MB
10:13:56,qa-redis-1,1.99,6.734MiB on 15.26GiB,0.04,12.3MB on 8.17MB,0B on 2.23MB
10:13:56,qa-mysql-user-1,4.03,405.4MiB on 15.26GiB,2.59,4.31MB on 8.38MB,131kB on 317MB
10:13:56,qa-kafka-1,10.14,432.4MiB on 15.26GiB,2.77,2.88MB on 1.42MB,0B on 5.28MB
10:14:04,qa-k6-run-a4819b779e3c,8.89,127.1MiB on 15.26GiB,0.81,18.4MB on 12.6MB,0B on 0B
10:14:04,qa-gateway-1,17.89,236MiB on 768MiB,30.73,30.5MB on 37MB,0B on 352kB
10:14:04,qa-orderapi-1,42.21,384.5MiB on 1GiB,37.55,66.8MB on 55.9MB,0B on 250kB
10:14:04,qa-userapi-1,210.68,493.4MiB on 1GiB,48.18,13.3MB on 9.78MB,0B on 254kB
10:14:04,qa-eureka-1,0.73,213.9MiB on 512MiB,41.78,75kB on 534kB,0B on 270kB
10:14:04,qa-mysql-order-1,15.37,418MiB on 15.26GiB,2.67,27.1MB on 42.3MB,131kB on 451MB
10:14:04,qa-redis-1,2.01,6.887MiB on 15.26GiB,0.04,13MB on 8.74MB,0B on 2.23MB
10:14:04,qa-mysql-user-1,4.56,405.4MiB on 15.26GiB,2.59,4.47MB on 8.7MB,131kB on 317MB
10:14:04,qa-kafka-1,4.39,430.7MiB on 15.26GiB,2.76,3.02MB on 1.48MB,0B on 5.37MB
10:14:13,qa-k6-run-a4819b779e3c,7.21,127.2MiB on 15.26GiB,0.81,19.3MB on 13.2MB,0B on 0B
